team_s,attack_A,attack_H,defence_A,defence_H,source,net
ARS,1.2191548792851694,1.186274522569073,0.6566545313750114,0.6292970930244915,25/26 record,0.5597388887273695
MCI,1.336687063884597,1.261819197289004,0.8643307743572436,0.8153197205460702,25/26 record,0.4594278831351436
MUN,1.1411662334294745,1.2287993256775345,0.9316725629907298,0.938247142866252,25/26 record,0.2500229266250138
LIV,1.1441061533850951,1.0995322573184374,0.9566197530568087,0.9264228494183712,25/26 record,0.18029790411417623
CHE,1.2726872679276244,1.075288171774054,0.9252404586626279,1.0682497571675427,25/26 record,0.17724261193575397
BHA,1.1015903878730429,0.9938842927066612,0.9444065671058784,0.9277474287390355,25/26 record,0.11166034236739497
BOU,1.2108197216087944,1.0338310459022402,1.2354918390877458,0.8013308706473478,25/26 record,0.1039140288879703
BRE,0.9609265253810397,1.1828371226852288,1.0239355007820838,0.9921672132610965,25/26 record,0.06383046701154416
CRY,1.0145235276488929,0.9972696107740832,0.9709682934810355,1.0158481069695573,25/26 record,0.012488368986191656
NEW,0.8462050334864365,1.2006230629932995,0.8562060109954307,1.1700808307951942,25/26 record,0.010270627344555416
AVL,0.9803106130005165,0.9537292122453945,0.9844835248425123,0.9973363032929571,25/26 record,-0.023890001444779152
LEE,0.9831536125180399,1.013232687507388,1.1188025293945316,0.9489730046823625,25/26 record,-0.035694617025733066
FUL,0.8943744912208363,0.9530521486319102,1.0448984318918892,0.9372456316725789,25/26 record,-0.06735871185586084
EVE,0.9363087341043044,0.8964652550895413,1.0017226060781534,1.0607222698086458,25/26 record,-0.11483544334647677
NFO,0.9410578355710763,0.8891477598822677,1.042059972896897,1.033713774392175,25/26 record,-0.122784075917864
TOT,0.9142108742181007,0.8090719671336327,0.9212561997063545,1.1117024202478698,25/26 record,-0.15483788930124542
SUN,0.821328787708108,0.8075355535491873,1.0311227914483028,0.9449346530949715,25/26 record,-0.17359655164298937
IPS,0.8491557223796234,0.8496697430344854,1.1568048947770275,1.0781787176037414,promoted prior,-0.26807907348333004
COV,0.8491557223796234,0.8496697430344854,1.1568048947770275,1.0781787176037414,promoted prior,-0.26807907348333004
HUL,0.8491557223796234,0.8496697430344854,1.1568048947770275,1.0781787176037414,promoted prior,-0.26807907348333004
